epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,92.3637,0.8683,0.89906,0.9975,0.93772,0.95305,0.95069,0.70826,0.9884,0.65302,1.02592,0.000494885,0.000494885,0.000494885
43,94.5431,0.88345,0.90258,1.02963,0.93656,0.94426,0.95791,0.72698,0.90753,0.64022,0.99697,0.000486639,0.000486639,0.000486639
44,96.7589,0.86091,0.96505,1.02558,0.91012,0.9603,0.96135,0.65467,1.22947,0.68428,1.14536,0.000478392,0.000478392,0.000478392
45,99.0315,0.84641,0.91719,1.01524,0.90972,0.9603,0.95818,0.6838,1.12192,0.69571,1.0942,0.000470145,0.000470145,0.000470145
46,101.239,0.89789,0.96258,1.02072,0.92286,0.93989,0.93317,0.71604,0.91383,0.67362,0.99677,0.000461898,0.000461898,0.000461898
47,103.431,0.8614,0.9465,1.03619,0.90192,0.94874,0.93405,0.62592,1.26807,0.7176,1.14299,0.000453652,0.000453652,0.000453652
48,105.613,0.87044,0.90695,1.01406,0.92503,0.9603,0.95058,0.63778,1.20275,0.68716,1.12926,0.000445405,0.000445405,0.000445405
49,107.834,0.84705,0.88809,1.00606,0.92522,0.9532,0.95643,0.75371,0.84775,0.60856,0.97487,0.000437158,0.000437158,0.000437158
50,110.104,0.81557,0.87556,0.99447,0.90244,0.93786,0.95032,0.71402,0.96807,0.61108,1.00616,0.000428912,0.000428912,0.000428912
51,112.28,0.78917,0.80429,0.96526,0.93422,0.94931,0.96857,0.72259,0.99091,0.59588,1.01958,0.000420665,0.000420665,0.000420665
52,114.497,0.82378,0.88267,1.00939,0.91818,0.93832,0.97063,0.78117,0.7937,0.60228,0.95637,0.000412418,0.000412418,0.000412418
53,116.709,0.7777,0.87458,0.94338,0.92199,0.93911,0.95244,0.7478,0.85296,0.59285,0.97759,0.000404172,0.000404172,0.000404172
54,118.912,0.77293,0.80851,0.97748,0.92528,0.94823,0.95678,0.72973,0.92885,0.60605,1.01049,0.000395925,0.000395925,0.000395925
55,121.142,0.77027,0.87805,0.96061,0.93593,0.95573,0.9605,0.76589,0.78468,0.57623,0.95732,0.000387678,0.000387678,0.000387678
